MF00,-122.24170,46.34820,-1.221
MF05,-122.38676,46.39037,-0.727
MF07,-122.00227,46.42563,-0.515
MF09,-121.86100,46.38994,-1.216
MF11,-122.23857,46.36718,-1.029
MF12,-122.22020,46.36580,-1.200
MF13,-122.20853,46.37414,-0.917
MF15,-122.23180,46.38930,-0.595
MF21,-122.22520,46.35480,-1.261
MF32,-122.21779,46.34258,-1.176
MF34,-122.19504,46.33471,-1.414
MF41,-122.24077,46.34127,-1.089
MF42,-122.23840,46.32670,-1.312
MF54,-122.26025,46.31348,-1.162
MF61,-122.24977,46.34457,-1.135
MF64,-122.29520,46.32950,-0.909
MF68,-122.33750,46.30880,-1.270
MF72,-122.26390,46.36110,-0.915
MF74,-122.29681,46.34767,-0.720
MF75,-122.29880,46.37380,-0.498
MF77,-122.33473,46.36099,-0.791
MF79,-122.34600,46.39410,-0.547
MF85,-122.28030,46.39320,-0.825
MG02,-122.73487,46.37375,-0.162
MG03,-122.47619,46.33807,-0.638
MG05,-122.34193,46.30588,-1.283
MG06,-122.21745,46.35014,-1.408
MG07,-122.03101,46.35285,-1.457
MG08,-121.92873,46.34174,-1.547
MG10,-121.65809,46.34472,-0.893
MH01,-122.80627,46.26390,-0.197
MH03,-122.59412,46.26842,-0.373
MH04,-122.42707,46.27946,-0.920
MH07,-122.08202,46.27981,-1.122
MH09,-121.80103,46.29767,-0.989
MH11,-121.57848,46.27071,-1.447
MI02,-122.66592,46.21624,-0.349
MI04,-122.41015,46.19594,-0.918
MI05,-122.29212,46.23110,-1.255
MI07,-122.07328,46.24823,-1.124
MI08,-121.97448,46.25385,-1.246
MI09,-121.83447,46.22937,-1.003
MI10,-121.67823,46.21928,-1.001
MIBL,-122.18691,46.19732,-2.132
MIDE,-122.18744,46.19775,-2.132
MINN,-123.26414,45.21154,-0.222
MJ01,-122.81126,46.19374,-0.339
MJ02,-122.70120,46.13877,-0.317
MJ03,-122.56496,46.15910,-0.397
MJ06,-122.26062,46.16705,-0.976
MJ07,-122.05578,46.17878,-0.509
MJ09,-121.92144,46.18418,-1.052
MK04,-122.39086,46.11270,-0.482
MK06,-122.19253,46.11841,-0.680
MK07,-122.11677,46.15270,-0.929
MK08,-122.04607,46.11738,-0.762
MK10,-121.77133,46.14467,-1.186
MK11,-121.60194,46.15254,-1.343
MK12,-121.36388,46.11370,-1.226
ML03,-122.51601,46.06243,-0.356
ML07,-122.11523,46.07427,-0.694
ML09,-121.88036,46.07809,-1.144
ML10,-121.75087,46.05278,-1.238
ML11,-121.61633,46.07560,-1.033
MM02,-122.68447,46.01971,-0.209
MM04,-122.34545,46.01525,-0.313
MM06,-122.25688,46.04118,-0.601
MM08,-121.98412,46.03273,-1.019
MN07,-122.08166,45.99261,-0.861
MN09,-121.84190,46.00074,-1.254
MN10,-121.68044,45.98163,-1.091
MNWA,-122.53414,47.56503,-0.008
MO03,-122.57483,45.92685,-0.254
MO06,-122.20608,45.93212,-0.784
MO07,-122.08445,45.88513,-1.248
MONO,-123.24097,44.85343,-0.060
MORO,-120.74183,45.47431,-0.557
MOX,-120.29934,46.57718,-0.501
MP03,-122.49440,45.82557,-0.126
MP04,-122.38108,45.81247,-0.497
MP06,-122.19591,45.83138,-0.796
MP08,-121.91156,45.86615,-0.781
MP10,-121.80077,45.89865,-1.130
MPL,-122.18458,47.46861,-0.122
MPO,-123.55300,44.50428,-1.223
MQ07,-122.10721,45.80818,-1.037
MRIN,-122.69828,44.80039,-0.187
MTM,-122.21287,46.02533,-1.121
NAC,-120.82485,46.73301,-0.728
NED,-122.18549,46.20025,-2.060
NEL,-120.34137,48.07003,-1.500
NEW,-122.17370,47.55410,-0.116
NEWO,-124.04622,44.62392,-0.002
NIHS,-122.22141,47.74144,-0.137
NLO,-123.45173,46.08924,-0.826
NLWA,-123.86910,47.39170,-0.640
NOWS,-122.25444,47.68630,-0.021
OBC,-124.07882,48.03511,-0.938
OBH,-123.86712,47.32606,-0.383
OBSR,-121.81533,46.89972,-2.382
OCEN,-124.15949,46.95247,-0.004
OCP,-124.62516,48.29787,-0.487
OCWA,-124.17810,47.74890,-0.671
OFR,-124.39604,47.93313,-0.152
OHC,-123.15879,47.33262,-0.011
ON2,-123.78233,46.88058,-0.257
ONAB,-124.07487,44.51466,-0.034
ONR,-123.77253,46.87690,-0.257
OOW,-124.18747,47.73414,-0.561
OOW2,-124.17544,47.74919,-0.741
OPC,-123.41291,48.10009,-0.090
OSD,-123.70511,47.81624,-2.008
OSR,-123.96296,47.50545,-0.815
